date,taiex_close,otc_close,disp,absmove,pct5,adv,n,s_mean,s_abs,s_lim,mkt50_abs,s_k,ld_n,ld_share,ld_abs,ld_dd
2018-08-27,10902.21,141.76,2.0606,1.411,4.73,64.71,1587,0.5004,1.0487,0.0,1.4978,92.0,18,12.84,1.21,-4.23
2018-08-28,10989.55,141.99,1.7189,1.0487,2.46,50.06,1586,0.1159,1.1182,2.13,1.0095,94.0,19,13.37,1.59,-2.81
2018-08-29,11099.57,142.46,1.6824,1.0128,2.52,48.68,1586,0.4254,1.2912,0.0,0.9495,94.0,23,15.47,1.2,-4.14
2018-08-30,11093.75,143.03,1.569,0.939,1.64,39.52,1584,0.0898,1.3168,0.0,0.8892,94.0,22,14.68,1.73,-3.92
2018-08-31,11063.94,143.53,1.6932,0.9889,2.59,48.42,1584,1.0506,1.6883,2.13,1.0295,94.0,24,16.24,1.4,-4.52
2018-09-03,10964.22,140.57,2.2152,1.5232,5.73,22.12,1587,-1.37,2.4481,3.19,1.668,94.0,27,17.59,2.0,-5.51
2018-09-04,11021.38,142.08,1.8475,1.0933,3.47,57.03,1587,0.5363,1.2176,0.0,1.0337,94.0,22,15.96,1.09,-5.58
2018-09-05,10995.13,141.61,1.8591,1.1502,2.96,26.02,1587,-0.3614,1.561,0.0,1.1555,94.0,22,15.37,1.86,-4.39
2018-09-06,10924.3,140.87,1.8485,1.1567,3.15,27.13,1585,-0.2782,1.4978,2.13,1.1169,94.0,23,16.63,1.49,-4.95
2018-09-07,10846.99,137.26,2.4836,2.1292,9.96,13.11,1586,-1.6896,2.2902,0.0,2.2276,93.0,19,13.95,1.84,-5.03
2018-09-10,10725.8,132.37,2.9902,2.7605,17.77,14.05,1587,-1.5577,2.4955,3.3,2.7276,91.0,16,12.51,2.85,-6.71
2018-09-11,10752.3,133.29,2.4335,1.6335,6.74,57.72,1587,1.0821,1.9761,2.22,1.6142,90.0,14,11.52,1.93,-5.31
2018-09-12,10722.57,131.5,2.2896,1.4789,5.11,31.84,1586,0.0394,1.8348,3.33,1.5547,90.0,14,11.09,2.05,-4.27
2018-09-13,10727.23,131.8,2.2009,1.4412,4.75,64.81,1580,0.4776,1.8922,1.11,1.4931,90.0,11,9.99,1.2,-4.07
2018-09-14,10868.14,134.47,2.1961,1.6061,6.58,69.05,1580,0.6386,1.5448,1.11,1.779,90.0,12,10.41,1.67,-3.71
2018-09-17,10828.61,134.24,1.9849,1.1897,3.79,33.06,1582,0.511,2.0011,5.49,1.1392,91.0,12,10.75,0.83,-4.13
2018-09-18,10760.21,132.21,1.9351,1.2951,3.54,27.67,1583,-1.3003,1.9709,2.2,1.4379,91.0,12,10.07,2.94,-5.21
2018-09-19,10857.27,132.6,1.7959,1.1178,3.09,60.38,1585,0.7661,1.389,1.11,1.0866,90.0,8,3.48,2.02,-2.96
2018-09-20,10831.41,132.03,1.9286,1.2484,2.97,24.79,1581,-0.6604,1.5848,2.2,1.3051,91.0,14,11.15,2.05,-3.55
2018-09-21,10972.41,134.12,1.9729,1.2425,4.3,57.81,1581,0.931,1.841,1.11,1.4805,90.0,13,10.72,2.34,-2.89
2018-09-25,10978.85,134.62,2.1138,1.2583,4.47,44.86,1587,0.3993,1.6524,3.33,1.2401,90.0,14,11.17,1.82,-1.36
2018-09-26,10974.19,134.09,1.8368,1.0762,2.96,39.38,1587,-0.392,1.6981,2.2,1.1003,91.0,13,10.74,1.59,-2.87
2018-09-27,11034.19,133.25,1.7501,1.0481,2.59,36.07,1586,0.0278,1.4772,0.0,1.0236,89.0,14,11.35,1.76,-2.0
2018-09-28,11006.34,133.58,1.6833,1.0142,2.27,36.7,1586,-0.3729,1.4624,0.0,1.0174,90.0,14,11.79,1.78,-2.67
2018-10-01,11051.8,134.81,1.9136,1.2034,3.65,58.45,1591,0.4722,1.4391,0.0,1.2038,90.0,14,11.72,0.55,-2.47
2018-10-02,10919.63,134.26,1.7702,1.0572,2.83,29.1,1591,-0.6597,1.519,1.11,1.1093,90.0,13,11.44,1.21,-3.17
2018-10-03,10863.94,132.6,1.963,1.317,3.77,22.82,1591,-0.9632,2.1797,2.22,1.4199,90.0,11,10.78,1.32,-4.37
2018-10-04,10718.91,131.62,1.7952,1.2249,2.89,22.08,1590,-0.524,1.7249,2.22,1.3042,90.0,11,10.74,2.33,-5.23
2018-10-05,10517.12,126.8,2.6053,2.6552,15.28,8.3,1590,-2.2245,2.6533,0.0,2.7904,89.0,9,4.23,1.65,-5.97
